entity_kind,entity,rank_or_class,param,from_version,to_version,from_value,to_value,abs_delta,pct_delta
taxon,Cebidae,family,risk_preference,0.3.0,0.3.1,0.941641,0.941641,0.0,0.0
taxon,Cebidae,family,temporal_discount_rate,0.3.0,0.3.1,0.476824,0.476824,0.0,0.0
taxon,Cebidae,family,effort_price_elasticity,0.3.0,0.3.1,-0.764364,-0.764364,0.0,0.0
taxon,Cebidae,family,cooperation_propensity,0.3.0,0.3.1,0.766556,0.766556,0.0,0.0
taxon,Cebidae,family,inequity_sensitivity,0.3.0,0.3.1,0.754966,0.754966,0.0,0.0
taxon,Cebidae,family,punishment_propensity,0.3.0,0.3.1,0.631982,0.631982,0.0,0.0
taxon,Cebidae,family,tokenization_capacity,0.3.0,0.3.1,0.812992,0.812992,0.0,0.0
taxon,Cebidae,family,risk_preference,0.3.1,0.4.0,0.941641,0.940398,0.001243,0.00132
taxon,Cebidae,family,temporal_discount_rate,0.3.1,0.4.0,0.476824,0.487572,0.010748,0.022541
taxon,Cebidae,family,effort_price_elasticity,0.3.1,0.4.0,-0.764364,-0.75362,0.010744,0.014056
taxon,Cebidae,family,cooperation_propensity,0.3.1,0.4.0,0.766556,0.677919,0.088637,0.11563
taxon,Cebidae,family,inequity_sensitivity,0.3.1,0.4.0,0.754966,0.672359,0.082607,0.109418
taxon,Cebidae,family,punishment_propensity,0.3.1,0.4.0,0.631982,0.596037,0.035945,0.056877
taxon,Cebidae,family,tokenization_capacity,0.3.1,0.4.0,0.812992,0.778485,0.034507,0.042444
taxon,Cebidae,family,risk_preference,0.4.0,0.5.0,0.940398,0.918008,0.02239,0.023809
taxon,Cebidae,family,temporal_discount_rate,0.4.0,0.5.0,0.487572,0.410519,0.077053,0.158034
taxon,Cebidae,family,effort_price_elasticity,0.4.0,0.5.0,-0.75362,-0.668127,0.085493,0.113443
taxon,Cebidae,family,cooperation_propensity,0.4.0,0.5.0,0.677919,0.812724,0.134805,0.198851
taxon,Cebidae,family,inequity_sensitivity,0.4.0,0.5.0,0.672359,0.784441,0.112082,0.1667
taxon,Cebidae,family,punishment_propensity,0.4.0,0.5.0,0.596037,0.66364,0.067603,0.113421
taxon,Cebidae,family,tokenization_capacity,0.4.0,0.5.0,0.778485,0.83182,0.053335,0.068511
taxon,Cercopithecidae,family,risk_preference,0.3.0,0.3.1,0.922205,0.922205,0.0,0.0
taxon,Cercopithecidae,family,temporal_discount_rate,0.3.0,0.3.1,0.464781,0.464781,0.0,0.0
taxon,Cercopithecidae,family,effort_price_elasticity,0.3.0,0.3.1,-0.752091,-0.752091,0.0,0.0
taxon,Cercopithecidae,family,cooperation_propensity,0.3.0,0.3.1,0.781611,0.781611,0.0,0.0
taxon,Cercopithecidae,family,inequity_sensitivity,0.3.0,0.3.1,0.765324,0.765324,0.0,0.0
taxon,Cercopithecidae,family,punishment_propensity,0.3.0,0.3.1,0.641908,0.641908,0.0,0.0
taxon,Cercopithecidae,family,tokenization_capacity,0.3.0,0.3.1,0.821992,0.821992,0.0,0.0
taxon,Cercopithecidae,family,risk_preference,0.3.1,0.4.0,0.922205,0.930021,0.007816,0.008475
taxon,Cercopithecidae,family,temporal_discount_rate,0.3.1,0.4.0,0.464781,0.476833,0.012052,0.02593
taxon,Cercopithecidae,family,effort_price_elasticity,0.3.1,0.4.0,-0.752091,-0.704852,0.047239,0.06281
taxon,Cercopithecidae,family,cooperation_propensity,0.3.1,0.4.0,0.781611,0.682398,0.099213,0.126934
taxon,Cercopithecidae,family,inequity_sensitivity,0.3.1,0.4.0,0.765324,0.676487,0.088837,0.116078
taxon,Cercopithecidae,family,punishment_propensity,0.3.1,0.4.0,0.641908,0.60113,0.040778,0.063526
taxon,Cercopithecidae,family,tokenization_capacity,0.3.1,0.4.0,0.821992,0.780589,0.041403,0.050369
taxon,Cercopithecidae,family,risk_preference,0.4.0,0.5.0,0.930021,0.872784,0.057237,0.061544
taxon,Cercopithecidae,family,temporal_discount_rate,0.4.0,0.5.0,0.476833,0.368277,0.108556,0.22766
taxon,Cercopithecidae,family,effort_price_elasticity,0.4.0,0.5.0,-0.704852,-0.710515,0.005663,0.008034
taxon,Cercopithecidae,family,cooperation_propensity,0.4.0,0.5.0,0.682398,0.835702,0.153304,0.224655
taxon,Cercopithecidae,family,inequity_sensitivity,0.4.0,0.5.0,0.676487,0.794455,0.117968,0.174383
taxon,Cercopithecidae,family,punishment_propensity,0.4.0,0.5.0,0.60113,0.680562,0.079432,0.132138
taxon,Cercopithecidae,family,tokenization_capacity,0.4.0,0.5.0,0.780589,0.850604,0.070015,0.089695
taxon,Columbidae,family,risk_preference,0.3.0,0.3.1,1.008916,1.008916,0.0,0.0
taxon,Columbidae,family,temporal_discount_rate,0.3.0,0.3.1,0.498023,0.498023,0.0,0.0
taxon,Columbidae,family,effort_price_elasticity,0.3.0,0.3.1,-0.99784,-0.99784,0.0,0.0
taxon,Columbidae,family,cooperation_propensity,0.3.0,0.3.1,0.66533,0.66533,0.0,0.0
taxon,Columbidae,family,inequity_sensitivity,0.3.0,0.3.1,0.649604,0.649604,0.0,0.0
taxon,Columbidae,family,punishment_propensity,0.3.0,0.3.1,0.563183,0.563183,0.0,0.0
taxon,Columbidae,family,tokenization_capacity,0.3.0,0.3.1,0.767387,0.767387,0.0,0.0
taxon,Columbidae,family,risk_preference,0.3.1,0.4.0,1.008916,1.003243,0.005673,0.005623
taxon,Columbidae,family,temporal_discount_rate,0.3.1,0.4.0,0.498023,0.492998,0.005025,0.01009
taxon,Columbidae,family,effort_price_elasticity,0.3.1,0.4.0,-0.99784,-1.124385,0.126545,0.126819
taxon,Columbidae,family,cooperation_propensity,0.3.1,0.4.0,0.66533,0.629857,0.035473,0.053316
taxon,Columbidae,family,inequity_sensitivity,0.3.1,0.4.0,0.649604,0.640546,0.009058,0.013944
taxon,Columbidae,family,punishment_propensity,0.3.1,0.4.0,0.563183,0.559394,0.003789,0.006728
taxon,Columbidae,family,tokenization_capacity,0.3.1,0.4.0,0.767387,0.74419,0.023197,0.030229
taxon,Columbidae,family,risk_preference,0.4.0,0.5.0,1.003243,1.03681,0.033567,0.033458
taxon,Columbidae,family,temporal_discount_rate,0.4.0,0.5.0,0.492998,0.484657,0.008341,0.016919
taxon,Columbidae,family,effort_price_elasticity,0.4.0,0.5.0,-1.124385,-1.165619,0.041234,0.036672
taxon,Columbidae,family,cooperation_propensity,0.4.0,0.5.0,0.629857,0.610522,0.019335,0.030697
taxon,Columbidae,family,inequity_sensitivity,0.4.0,0.5.0,0.640546,0.601319,0.039227,0.06124
taxon,Columbidae,family,punishment_propensity,0.4.0,0.5.0,0.559394,0.535714,0.02368,0.042332
taxon,Columbidae,family,tokenization_capacity,0.4.0,0.5.0,0.74419,0.77008,0.02589,0.03479
taxon,Corvidae,family,risk_preference,0.3.0,0.3.1,0.989793,0.989793,0.0,0.0
taxon,Corvidae,family,temporal_discount_rate,0.3.0,0.3.1,0.489155,0.489155,0.0,0.0
taxon,Corvidae,family,effort_price_elasticity,0.3.0,0.3.1,-0.793112,-0.793112,0.0,0.0
taxon,Corvidae,family,cooperation_propensity,0.3.0,0.3.1,0.733846,0.733846,0.0,0.0
taxon,Corvidae,family,inequity_sensitivity,0.3.0,0.3.1,0.726054,0.726054,0.0,0.0
taxon,Corvidae,family,punishment_propensity,0.3.0,0.3.1,0.609668,0.609668,0.0,0.0
taxon,Corvidae,family,tokenization_capacity,0.3.0,0.3.1,0.79557,0.79557,0.0,0.0
taxon,Corvidae,family,risk_preference,0.3.1,0.4.0,0.989793,0.991944,0.002151,0.002173
taxon,Corvidae,family,temporal_discount_rate,0.3.1,0.4.0,0.489155,0.489183,2.8e-05,5.7e-05
taxon,Corvidae,family,effort_price_elasticity,0.3.1,0.4.0,-0.793112,-0.761747,0.031365,0.039547
taxon,Corvidae,family,cooperation_propensity,0.3.1,0.4.0,0.733846,0.655058,0.078788,0.107363
taxon,Corvidae,family,inequity_sensitivity,0.3.1,0.4.0,0.726054,0.665134,0.06092,0.083906
taxon,Corvidae,family,punishment_propensity,0.3.1,0.4.0,0.609668,0.577364,0.032304,0.052986
taxon,Corvidae,family,tokenization_capacity,0.3.1,0.4.0,0.79557,0.760292,0.035278,0.044343
taxon,Corvidae,family,risk_preference,0.4.0,0.5.0,0.991944,1.008224,0.01628,0.016412
taxon,Corvidae,family,temporal_discount_rate,0.4.0,0.5.0,0.489183,0.491268,0.002085,0.004262
taxon,Corvidae,family,effort_price_elasticity,0.4.0,0.5.0,-0.761747,-0.759311,0.002436,0.003198
taxon,Corvidae,family,cooperation_propensity,0.4.0,0.5.0,0.655058,0.701189,0.046131,0.070423
taxon,Corvidae,family,inequity_sensitivity,0.4.0,0.5.0,0.665134,0.710997,0.045863,0.068953
taxon,Corvidae,family,punishment_propensity,0.4.0,0.5.0,0.577364,0.593472,0.016108,0.027899
taxon,Corvidae,family,tokenization_capacity,0.4.0,0.5.0,0.760292,0.789586,0.029294,0.03853
taxon,Cyprinidae,family,risk_preference,0.3.0,0.3.1,1.113065,1.113065,0.0,0.0
taxon,Cyprinidae,family,temporal_discount_rate,0.3.0,0.3.1,0.666336,0.666336,0.0,0.0
taxon,Cyprinidae,family,effort_price_elasticity,0.3.0,0.3.1,-1.025131,-1.025131,0.0,0.0
taxon,Cyprinidae,family,cooperation_propensity,0.3.0,0.3.1,0.534405,0.534405,0.0,0.0
taxon,Cyprinidae,family,inequity_sensitivity,0.3.0,0.3.1,0.559101,0.559101,0.0,0.0
taxon,Cyprinidae,family,punishment_propensity,0.3.0,0.3.1,0.469426,0.469426,0.0,0.0
taxon,Cyprinidae,family,tokenization_capacity,0.3.0,0.3.1,0.4787,0.4787,0.0,0.0
